,building_type,v_half_median,v_thresh_median,v_half_max,v_thresh_max,v_half_min,v_thresh_min
0,C1,83.85416666666667,55.67916666666666,116.725,76.475,68.425,45.61666666666667
1,C2,98.6125,65.74166666666667,116.725,76.475,81.84166666666667,53.666666666666664
2,C3,98.6125,65.74166666666667,116.725,76.475,81.84166666666667,53.666666666666664
3,RM2,75.80416666666666,50.3125,100.625,67.08333333333333,63.05833333333333,41.59166666666666
4,S1,92.57499999999999,61.71666666666667,116.725,76.475,81.84166666666667,53.666666666666664
5,S4,116.725,76.475,116.725,76.475,116.725,76.475
6,S5,104.65,69.76666666666667,116.725,76.475,92.57499999999999,61.71666666666667
7,W,75.13333333333334,49.641666666666666,88.55,59.03333333333333,61.71666666666667,41.59166666666666
8,A,73.79166666666666,48.3,83.18333333333332,55.00833333333333,64.4,42.93333333333333
9,C,83.85416666666667,55.67916666666666,116.725,76.475,68.425,45.61666666666667
10,C1H,110.6875,73.12083333333334,116.725,76.475,104.65,69.76666666666667
11,C1L,110.6875,73.12083333333334,116.725,76.475,104.65,69.76666666666667
12,C1M,88.55,59.03333333333333,116.725,76.475,79.15833333333335,52.325
13,C2L,98.6125,65.74166666666667,104.65,69.76666666666667,92.57499999999999,61.71666666666667
14,C3L,92.57499999999999,61.71666666666667,104.65,69.76666666666667,81.84166666666667,53.666666666666664
15,DS3,73.79166666666666,48.3,83.18333333333332,55.00833333333333,64.4,42.93333333333333
16,INF,77.81666666666666,50.98333333333333,91.23333333333333,60.375,64.4,42.93333333333333
17,MH,44.275,30.187500000000004,46.958333333333336,32.2,41.59166666666666,28.175
18,PC1,104.65,69.76666666666667,116.725,76.475,92.57499999999999,61.71666666666667
19,PC2L,98.6125,65.74166666666667,104.65,69.76666666666667,92.57499999999999,61.71666666666667
20,RM,80.5,53.666666666666664,100.625,67.08333333333333,71.10833333333333,46.958333333333336
21,RM1L,80.5,53.666666666666664,91.23333333333333,60.375,71.10833333333333,46.958333333333336
22,RM2L,91.23333333333333,60.375,100.625,67.08333333333333,80.5,53.666666666666664
23,RM2M,90.56249999999999,60.375,100.625,67.08333333333333,80.5,53.666666666666664
24,S,88.55,59.03333333333333,116.725,76.475,79.15833333333335,52.325
25,S1H,110.6875,73.12083333333334,116.725,76.475,104.65,69.76666666666667
26,S1L,104.65,69.76666666666667,116.725,76.475,92.57499999999999,61.71666666666667
27,S1M,110.6875,73.12083333333334,116.725,76.475,104.65,69.76666666666667
28,S2L,98.6125,65.74166666666667,104.65,69.76666666666667,92.57499999999999,61.71666666666667
29,S3,74.46249999999999,49.641666666666666,77.81666666666666,52.325,71.10833333333333,46.958333333333336
30,S4H,110.6875,73.12083333333334,116.725,76.475,104.65,69.76666666666667
31,S4L,104.65,69.76666666666667,116.725,76.475,92.57499999999999,61.71666666666667
32,S4M,110.6875,73.12083333333334,116.725,76.475,104.65,69.76666666666667
33,S5L,98.6125,65.74166666666667,104.65,69.76666666666667,92.57499999999999,61.71666666666667
34,UCB,78.48749999999998,51.65416666666666,91.23333333333333,60.375,64.4,42.93333333333333
35,UFB,78.48749999999998,51.65416666666666,91.23333333333333,60.375,64.4,42.93333333333333
36,UFB3,78.48749999999998,51.65416666666666,91.23333333333333,60.375,64.4,42.93333333333333
37,W1,75.13333333333334,49.641666666666666,88.55,59.03333333333333,61.71666666666667,41.59166666666666
38,W2,71.10833333333333,46.958333333333336,79.15833333333335,52.325,61.71666666666667,41.59166666666666
