admin0,AAD,PMD2,PMD5,PMD10,PMD25,PMD50,PMD_100,PMD250,PMD500,PMD1000,scenario,year
AFG,48406.65534,19539.01184,46741.18023,99158.06756,129682.8157,154048.0816,169034.3095,189946.4609,200404.4284,216101.8128,current,2020
AGO,46928.4508,17176.32095,26006.669,102469.3982,223480.5903,242205.9522,253297.7165,262076.8148,268443.6481,280553.8791,current,2020
ALB,456.7718048,171.4540146,485.56459,845.3932388,2297.758233,3973.041042,5021.165556,5867.166165,6990.903128,7639.194568,current,2020
AND,2.62108919,0,0,0,0,0,58.92825032,242.705962,340.1198238,600.5292578,current,2020
ARE,10.48170973,0.120291956,4.741825446,38.75036931,64.48455893,80.93338913,160.681749,186.4590356,214.4071687,446.3495569,current,2020
ARG,21481.02,11682.25,22596.69,33909.06,48249.2,59308.1,82228.98,145695.86,177185.22,198995.84,current,2020
ARM,68.05958068,13.6337384,68.11802142,133.2067923,203.4876577,951.1870107,1307.687536,1412.403669,1423.698469,1450.177789,current,2020
AUS,8020.98,3241.75,7126.89,12038.9,22438.54,30154.56,35917.07,90215.62,123566.23,140819.28,current,2020
AUT,1318.690181,178.3786542,1587.154105,2789.941117,8603.640792,12342.33191,14923.7645,17900.30574,18742.80429,30414.6463,current,2020
AZE,360.4786965,68.02214127,217.0615123,376.2232764,3789.979562,3828.021934,3845.138677,3953.056254,5468.868063,6497.866041,current,2020
BDI,8720.230772,2436.626927,18399.29013,19359.21627,21008.66588,22070.97926,35659.46734,37692.17569,38391.15799,38804.64143,current,2020
BEL,1862.528972,0,0,965.1359551,12173.91969,30029.6,60506.83063,77822.52032,85452.28566,104214.5055,current,2020
BEN,70125.59486,49597.07347,96230.36963,117003.3106,178907.0976,202644.7523,216157.1522,227589.4742,231536.8817,240709.4492,current,2020
BFA,14161.2794,6118.091937,16647.32808,20739.92069,25485.61769,28671.27931,31005.72104,32996.99257,34157.52958,35066.9456,current,2020
BGD,740362.3817,390013.916,1202097.935,2033327.2,2584147.68,2847430.723,3167441.192,3423291.31,3587123.069,3833028.861,current,2020
BGR,2325.207881,1200.478027,2401.00921,3596.947633,6892.183827,11278.27496,13790.49536,15758.54625,16490.29856,17769.1322,current,2020
BIH,2180.636071,689.6916281,3901.621416,5499.359898,9220.299278,11086.91294,14134.95463,16031.17693,17165.39388,19243.17584,current,2020
BLR,2306.427426,1169.313882,2296.970736,3348.269291,7566.812085,10341.28367,16851.66528,20023.17784,20973.74988,22653.10245,current,2020
BLZ,383.2935745,124.1456268,229.3280222,786.3896261,2879.487463,4008.288635,5433.018259,6408.443981,6900.248902,7526.957464,current,2020
BOL,20400.06347,10122.3864,20621.90791,30950.11564,39685.17523,46006.09714,50009.91722,55515.755,58100.57745,59418.26854,current,2020
BRA,446936.74,255082.04,593245.93,731952.76,847763.81,911612.1,976526.35,1057003.94,1088426.21,1118462.88,current,2020
BRN,371.5732847,0,0,343.3898459,471.0577911,4264.706672,11339.7041,21213.05239,26580.90515,29474.82759,current,2020
BTN,977.0236106,748.4895538,1503.50564,2086.56349,2601.148315,2906.871257,3233.200018,3606.241827,4043.843792,4284.644359,current,2020
BWA,1018.046054,381.8474064,2093.146441,2571.562584,3909.41656,4148.735778,4350.650961,4609.024155,4831.277401,5440.273016,current,2020
CAF,33813.02389,15645.68921,33811.60308,54381.76372,79552.06751,88053.35983,120426.879,138960.6346,143583.9504,146859.1087,current,2020
CAN,4308.79,1918.73,4427.67,6824.74,11927.47,20832.66,27824.67,36130.32,82873.05,114181.61,current,2020
CHE,655.6668052,0.490321359,173.5263441,2095.298236,5107.333909,8190.087239,10127.97467,12132.47417,15768.72087,17959.33232,current,2020
CHL,11006.4602,4205.844512,5284.316262,6825.996968,12039.88953,18628.44656,24162.47916,28944.45458,30210.9091,33225.08828,current,2020
CHN,230149.17,109494.83,310112.01,464735.38,641168.15,775440.83,873980.58,963988.74,1013454.78,1033077.91,current,2020
CIV,25415.43534,14217.76037,34539.15632,50595.26063,56044.78103,58087.56232,61762.82322,67881.23806,69338.1509,71295.44274,current,2020
CMR,56406.9541,25002.21001,37930.77233,61948.65852,183568.9985,229658.8871,251201.7209,500396.7764,529571.0341,546826.9467,current,2020
