admin0,GID_1,AAD,PMD_2,PMD_5,PMD_10,PMD_25,PMD:50,PMD_100,PMD_250,PMD_500,PMD_1000,scenario,year
AFG,AFG.1_1,463.2482352,106.2347622,220.0907118,632.0947047,1561.907941,1713.240927,1927.807332,2195.753398,2451.893748,3194.160995,current,2020
AFG,AFG.10_1,91.33765083,27.4007957,109.8421592,144.0940955,461.7914079,509.71936,826.5848873,1327.628871,1511.975571,1739.070368,current,2020
AFG,AFG.11_1,70.62871929,3.10452044,118.5345872,276.4677896,280.2649552,295.5757616,436.5486827,483.364449,486.8616611,489.876903,current,2020
AFG,AFG.12_1,151.7773372,31.45327039,148.1204946,185.0836451,299.8961653,501.7869679,714.5412192,1087.121781,1187.305708,1265.935094,current,2020
AFG,AFG.13_1,2.040661361,0,4.606022649,5.398237369,16.01403571,17.97393249,21.98616688,25.57514728,29.10422186,33.21548686,current,2020
AFG,AFG.14_1,19526.67463,5316.248666,23540.11744,63508.91266,85019.2194,102291.2112,118984.9572,127854.4985,135223.75,139187.4324,current,2020
AFG,AFG.15_1,146.2538937,68.23424652,249.9136381,466.1920416,550.6428437,672.7036558,958.0693882,1372.195912,2001.980233,3337.246711,current,2020
AFG,AFG.16_1,90.06775538,0,164.3353673,176.8888112,218.1857499,1484.526599,1850.704169,2020.007749,2086.692199,2215.293141,current,2020
AFG,AFG.17_1,656.514777,258.6969063,562.1886806,680.3721061,1065.441559,1245.281617,1314.993104,1545.412746,1802.724772,2055.727675,current,2020
AFG,AFG.18_1,6882.015413,1097.453484,9984.378025,10939.44627,13921.46736,14732.85751,15443.56445,18396.452,19580.40283,20315.62108,current,2020
AFG,AFG.19_1,59.62865455,27.6515921,59.38405762,122.6448828,197.2056481,244.2521323,272.0119457,315.7029225,372.1455725,386.2514922,current,2020
AFG,AFG.2_1,917.2326633,72.26756242,2464.319591,2466.276317,2484.04115,2709.93145,3110.394391,3324.829455,3767.22898,4182.740263,current,2020
AFG,AFG.20_1,1104.629504,0,0,5523.268498,10446.57846,11504.97563,12115.23463,12601.93023,12959.28965,13296.41237,current,2020
AFG,AFG.21_1,2549.551433,635.9393422,2870.874622,6611.145353,9817.03646,11098.48747,11945.24034,12899.65019,13477.29942,13564.15663,current,2020
AFG,AFG.22_1,4980.429268,385.4224138,6468.732882,11862.86319,29311.09373,48886.20516,58527.07325,65910.54239,69554.3306,77265.46514,current,2020
AFG,AFG.23_1,3.579810408,0,10.36930561,10.71166992,13.08479289,13.33300551,13.62024774,23.38285342,33.79978573,40.55249657,current,2020
AFG,AFG.24_1,6981.272724,1508.23106,1560.348153,1625.085914,2342.947302,2680.41787,2746.407495,2783.118552,2802.008886,2822.236158,current,2020
AFG,AFG.25_1,199.9044703,88.62031127,320.7088008,448.4508709,564.3682934,603.1543299,634.6854148,675.8359141,754.2309682,783.7854924,current,2020
AFG,AFG.26_1,983.4524886,512.6449693,513.1366711,549.4144453,633.91618,693.5642298,752.2093627,810.6861848,972.1611237,1030.59051,current,2020
AFG,AFG.27_1,0,0,0,0,0,0,0,0,0,0,current,2020
AFG,AFG.28_1,515.4621067,310.1920777,672.2084395,994.0698644,1175.130201,1303.877199,1384.400348,1451.695432,1507.826072,1632.243036,current,2020
AFG,AFG.29_1,27.01408508,12.90441164,24.67869806,26.14281422,37.9830984,418.2300101,455.9914249,459.4498228,459.8303527,460.9139407,current,2020
AFG,AFG.3_1,24.84036634,3.87429896,20.7279828,37.64027141,202.10054,208.5850066,526.6256328,549.3830573,606.1356968,812.2281402,current,2020
AFG,AFG.30_1,6.545882048,2.781088712,4.52189861,6.084028485,7.526997366,14.77364315,39.71283534,54.7117549,87.60104789,87.84534962,current,2020
AFG,AFG.31_1,70.62235458,17.15448266,156.6926496,199.4111374,284.0823715,388.1504571,435.3930214,465.0489374,545.7419927,557.3824038,current,2020
AFG,AFG.32_1,69.71668127,2.370341897,99.167965,313.9510334,408.9218532,432.888769,477.7946349,679.1970064,869.5824531,888.4489217,current,2020
AFG,AFG.33_1,477.3643561,211.9381676,596.1336198,1071.389119,2824.516656,2895.472244,4246.029043,4287.116792,7952.561443,8262.713602,current,2020
AFG,AFG.34_1,54.96909783,42.19143565,59.25981308,60.63112792,277.4424548,288.9411626,325.7100793,464.5844874,770.8343798,1002.541447,current,2020
