admin0,scenario,year,AAD,PMD_1,PMD_10,PMD_25,PMD_50,PMD_100,PMD_250,PMD_1000
AFG,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIA,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIA,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIA,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIA,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIA,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIA,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIA,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALA,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALA,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALA,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALA,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALA,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALA,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
