,iso,time_horizon,scenario,PMD_1.0_med,PMD_10.0_med,PMD_25.0_med,PMD_50.0_med,PMD_100.0_med,PMD_250.0_med,PMD_1000.0_med,aed_med
0,ABW,2020,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ABW,2020,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ABW,2020,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ABW,2050,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ABW,2050,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ABW,2050,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ABW,2100,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ABW,2100,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ABW,2100,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,AFG,2020,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,AFG,2020,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,AFG,2020,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,AFG,2050,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,AFG,2050,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,AFG,2050,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,AFG,2100,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,AFG,2100,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,AFG,2100,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,AGO,2020,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,AGO,2020,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,AGO,2020,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,AGO,2050,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,AGO,2050,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,AGO,2050,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,AGO,2100,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,AGO,2100,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,AGO,2100,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,AIA,2020,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,AIA,2020,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,AIA,2020,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,AIA,2050,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,AIA,2050,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,AIA,2050,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,AIA,2100,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,AIA,2100,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,AIA,2100,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,ALA,2020,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,ALA,2020,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,ALA,2020,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,ALA,2050,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,ALA,2050,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
