Period,Scenario,AAD,RP_10,RP_25,RP_50,RP_100,RP_250,iso3
hist,ERA-5,28671.96812286348,68185.59981861713,229982.49618998985,388886.912313771,519963.7591311921,620058.5945313053,USA
2050,ssp245,110599.34936471363,212130.83248378275,457843.14300916926,746410.9371413798,1272117.7984128324,1722520.5600706767,USA
2100,ssp245,158494.6555190661,302817.34998066607,545445.6341238596,1244706.4110206435,1882986.431134052,2968369.6316752494,USA
2050,ssp370,110455.76896574782,247801.4198478457,432162.8713992627,664836.3389978968,879057.4802207291,1054906.935071173,USA
2100,ssp370,255546.294008097,341566.17638888804,868826.5125299285,1570753.0447378363,3162573.2745260163,5541758.675222234,USA
2050,ssp585,126756.30276170466,276864.9342224947,453490.763912148,915800.6633263192,1389109.2767633726,1911732.9431103503,USA
2100,ssp585,306418.4271779794,418096.9387720556,1311711.200921934,2415739.144942063,3610310.752680224,8083107.663585045,USA
hist,ERA-5,0.0002032859031678,0.0,0.0,0.0,0.0,0.0,MDV
2050,ssp245,172.77760731838953,0.0,0.0,0.0,0.0,0.0,MDV
2100,ssp245,186.0711569977024,0.0,0.0,0.0,0.0,0.0,MDV
2050,ssp370,12.891855689390995,0.0,0.0,0.0,0.0,0.0,MDV
2100,ssp370,7.33682892277197,0.0,0.0,0.0,0.0,0.3638824366436452,MDV
2050,ssp585,0.3177581367531851,0.0,0.0,0.0,0.0,0.0,MDV
2100,ssp585,24.615008796689043,0.0,0.0,0.0,0.0,515.273031527916,MDV
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,SYC
2050,ssp245,0.003825296069708,0.0,0.0,0.0,0.0,0.0,SYC
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,SYC
2050,ssp370,0.0287512444271083,0.0,0.0,0.0,0.0,0.0,SYC
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,SYC
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,SYC
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,SYC
hist,ERA-5,98.87408299167876,0.0,0.0,0.0,0.0,0.0,KHM
2050,ssp245,1370.964151176586,0.0,0.0,0.0,0.0,34760.87838908052,KHM
2100,ssp245,1707.2600699472166,0.0,0.0,0.0,0.0,210087.9424622276,KHM
2050,ssp370,98.87408299167876,0.0,0.0,0.0,0.0,1110.0473423290164,KHM
2100,ssp370,698.6202253948168,0.0,0.0,0.0,0.0,20223.186549677284,KHM
2050,ssp585,2425.3111689994107,0.0,0.0,0.0,0.0,270710.14630694245,KHM
2100,ssp585,3321.167492282404,0.0,0.0,0.0,230.4994381590777,160312.880807727,KHM
hist,ERA-5,7300.799813209762,0.0,0.0,0.0,1552.0792335211793,384320.6513731277,CHN
2050,ssp245,19879.962636821983,0.0,7626.630265186139,20452.60704064074,1697982.6258444632,3917308.138498666,CHN
2100,ssp245,42384.96892854049,0.0,178306.48449202228,607724.6542907979,1032234.3198429904,2369776.180313213,CHN
2050,ssp370,48705.6341266471,0.0,104736.68117437312,718330.955891877,1243008.6203191455,1611218.0720213028,CHN
2100,ssp370,76023.89882440858,0.0,474586.83439165296,1171208.0107940217,2133526.968315709,4313947.154589849,CHN
2050,ssp585,52772.31015870012,0.0,69589.05493433864,411166.4842469235,1287398.8753239138,2583150.235712456,CHN
2100,ssp585,98465.57489772122,32651.375892612752,539985.1332685541,1384781.7089585578,2575317.976908195,5598244.264177948,CHN
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,GMB
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,GMB
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,GMB
