admin0,AAD,PMD_10,PMD_25,PMD_50,PMD_100,scenario,year
AFG,107671.195,295098.587,424990.285,1770780.235,2574612.047,current,2020
AFG,613913.282,2658115.136,4501747.056,5400958.463,6001271.681,optimistic,2050
AFG,657233.99,3001173.573,4634733.14,5523290.632,6126149.418,pessimistic,2050
AFG,678235.881,3074140.037,4851889.607,5692478.582,6289672.095,optimistic,2100
AFG,1016632.184,5505398.806,6493970.561,6814150.404,7005047.252,pessimistic,2100
AGO,75416.989,202061.485,299220.516,1256624.797,1810952.41,current,2020
AGO,79019.865,200580.169,543244.791,1039267.36,1644670.965,optimistic,2050
AGO,92757.551,218268.975,705091.892,1220229.416,1832238.996,pessimistic,2050
AGO,89891.825,227485.188,668874.503,1167066.034,1704700.488,optimistic,2100
AGO,190368.794,673655.978,1428261.559,1996162,2594949.384,pessimistic,2100
ALB,4.504,3.316,11.216,108.115,156.139,current,2020
ALB,4.121,7.956,23.304,66.708,105.9,optimistic,2050
ALB,9.027,13.905,73.69,140.731,187.475,pessimistic,2050
ALB,7.429,10.312,52.582,124.974,179.552,optimistic,2100
ALB,26.955,108.497,200.931,255.105,296.622,pessimistic,2100
ARE,24.091,0,18.488,678.981,977.155,current,2020
ARE,380.219,1924.013,2593.025,2781.011,2847.685,optimistic,2050
ARE,485.4,2825.06,2890.034,2905.41,2918.468,pessimistic,2050
ARE,439.516,2432.628,2764.057,2847.491,2874.07,optimistic,2100
ARE,496.072,2913.716,2924.298,2924.298,2924.298,pessimistic,2100
ARG,1960.398,2021.939,5338.589,44831.6,64802.823,current,2020
ARG,4396.312,10607.09,34621.011,57718.86,79638.49,optimistic,2050
ARG,4067.633,11514.082,30827.406,50220.494,67871.843,pessimistic,2050
ARG,3876.907,8540.381,30063.838,53578.832,74873.834,optimistic,2100
ARG,4533.87,14275.601,33669.374,52292.675,71368.144,pessimistic,2100
ARM,8.146,0,5.918,229.508,331.894,current,2020
ARM,20.153,16.876,142.644,377.617,520.718,optimistic,2050
ARM,15.479,0.724,130.201,299.669,420.554,pessimistic,2050
ARM,13.842,14.102,34.101,323.41,459.936,optimistic,2100
ARM,38.351,28.557,406.997,587.523,746.502,pessimistic,2100
AUS,319.806,0,376.416,8839.686,12795.581,current,2020
AUS,2314.161,9588.601,16680.133,21755.774,25297.959,optimistic,2050
AUS,3448.094,16995.237,23340.01,26404.888,28687.229,pessimistic,2050
AUS,2539.325,10612.328,18708.882,23161.674,26650.393,optimistic,2100
AUS,4170.501,21931.467,26898.052,29419.872,31303.519,pessimistic,2100
AUT,20.724,0,16.114,582.935,842.085,current,2020
AUT,36.866,2.897,297.839,723.694,1018.891,optimistic,2050
AUT,29.01,9.309,234.498,505.362,859.197,pessimistic,2050
AUT,77.32,132.26,722.28,1077.738,1364.776,optimistic,2100
AUT,144.381,459.601,1197.693,1583.432,1884.455,pessimistic,2100
AZE,37.054,0,44.364,1023.803,1480.331,current,2020
AZE,89.017,112.425,722.096,1462.307,1964.421,optimistic,2050
AZE,290.752,1084.951,2286.753,2893.155,3292.324,pessimistic,2050
AZE,93.495,121.262,846.852,1427.505,1894.444,optimistic,2100
AZE,382.837,1699.034,2784.912,3282.503,3588.667,pessimistic,2100
BDI,48153.236,0,40271.13,1353736.578,1946765.974,current,2020
BDI,441747.085,2227364.262,2960251.846,3288434.263,3483189.938,optimistic,2050
BDI,431486.796,2129385.775,2922452.388,3313619.827,3537772.651,pessimistic,2050
BDI,426251.871,2110832.934,2875196.532,3261533.059,3493005.483,optimistic,2100
BDI,564971.696,3075158.881,3578589.513,3767328.905,3896564.931,pessimistic,2100
BEL,5.568,0,4.287,156.511,226.634,current,2020
BEL,16.46,1.04,174.88,281.651,372.803,optimistic,2050
BEL,0.913,0,0.29,7.465,75.202,pessimistic,2050
BEL,9.013,0,55.87,200.483,276.866,optimistic,2100
BEL,19.315,3.779,217.179,313.106,398.82,pessimistic,2100
BEN,38591.077,100143.758,148104.311,656822.827,951607.234,current,2020
BEN,75674.745,175799.126,607575.999,1007661.068,1363857.093,optimistic,2050
BEN,69402.061,136362.79,547317.43,1006477.626,1374353.236,pessimistic,2050
BEN,68223.299,162775.702,523373.135,919884.414,1261311.471,optimistic,2100
BEN,176277.392,655578.821,1370660.266,1780801.397,2027707.18,pessimistic,2100
BFA,95007.32,187842.534,319954.693,1841375.591,2659736.704,current,2020
BFA,136697.743,213727.018,1054166.935,2079797.348,3156241.714,optimistic,2050
BFA,152465.484,252523.099,1199986.832,2310503.292,3300363.457,pessimistic,2050
BFA,145287.288,245601.751,1041077.264,2296422.938,3315556.333,optimistic,2100
BFA,379698.402,1005856.347,3288375.747,4589648.999,5578475.698,pessimistic,2100
BGD,302.687,217.294,743.967,7295.039,10529.781,current,2020
BGD,189.712,183.06,1244.532,3569.761,5022.935,optimistic,2050
BGD,395.045,349.527,3124.615,6597.637,10315.523,pessimistic,2050
BGD,224.912,220.614,1295.403,4008.811,7085.784,optimistic,2100
BGD,268.139,166.906,1969.636,4433.845,8398.632,pessimistic,2100
BGR,410.575,0.009,643.586,11152.319,16178.464,current,2020
BGR,534.24,741.443,3992.177,8172.228,13696.391,optimistic,2050
BGR,1785.165,4761.396,15629.315,21203.373,25978.533,pessimistic,2050
BGR,1077.653,2473.065,8198.661,14857.484,20525.062,optimistic,2100
BGR,4136.543,19280.773,28850.571,33852.89,37738.496,pessimistic,2100
BHR,0,0,0,0,0,current,2020
BHR,0,0,0,0,0,optimistic,2050
BHR,0,0,0,0,0,pessimistic,2050
BHR,0,0,0,0,0,optimistic,2100
BHR,0,0,0,0,0,pessimistic,2100
BHS,0.006,0,0.01,0.175,0.255,current,2020
BHS,0.007,0,0.011,0.201,0.293,optimistic,2050
BHS,0.025,0.004,0.258,0.418,0.567,pessimistic,2050
BHS,0.007,0,0.011,0.2,0.293,optimistic,2100
BHS,0.023,0.006,0.25,0.383,0.504,pessimistic,2100
BIH,220.087,0,263.54,6086.461,8781.59,current,2020
BIH,333.719,114.766,2353.605,6768.333,9273.18,optimistic,2050
BIH,473.23,979.485,3567.081,6766.034,9727.792,pessimistic,2050
BIH,503.779,388.635,4387.241,8738.41,11465.76,optimistic,2100
BIH,2081.035,9571.364,14611.422,17306.668,19330.813,pessimistic,2100
BLR,1065.492,0,869.953,29928.749,43211.848,current,2020
BLR,574.7,0.146,2024.676,11914.579,25540.671,optimistic,2050
BLR,1262.355,2.314,5653.09,28319.458,46961.093,pessimistic,2050
BLR,228.898,0,61.384,2697.169,17249.922,optimistic,2100
BLR,1633.455,33.239,11617.731,33880.394,48781.414,pessimistic,2100
BLZ,57.796,82.572,168.984,1243.606,1790.775,current,2020
BLZ,124.256,110.523,1094.691,2062.014,2817.603,optimistic,2050
BLZ,124.257,110.523,1094.698,2062.027,2817.618,pessimistic,2050
BLZ,212.576,654.412,1722.446,2455.912,2911.815,optimistic,2100
BLZ,212.577,654.415,1722.455,2455.923,2911.835,pessimistic,2100
BOL,1142.358,0,975.73,31977.583,46377.688,current,2020
BOL,3544.933,11149.474,27286.031,40423.767,53006.871,optimistic,2050
BOL,3535.803,10748.482,28478.748,40369.102,51442.241,pessimistic,2050
BOL,3149.118,9251.076,24093.812,38387.427,49250.976,optimistic,2100
BOL,5128.385,19410.55,38451.691,50650.849,63624.496,pessimistic,2100
BRA,15598.65,11392.023,39433.193,372825.527,542560.908,current,2020
BRA,36398.709,94554.445,287237.158,459921.668,625534.513,optimistic,2050
BRA,41953.032,127383.921,316872.804,494654.375,664664.012,pessimistic,2050
BRA,42230.263,136035.984,320551.551,476522.076,627416.121,optimistic,2100
BRA,67062.6,259948.004,489174.519,663965.957,822149.924,pessimistic,2100
BTN,3.507,0,2.599,96.284,147.766,current,2020
BTN,2.795,0.064,23.214,43.611,98.774,optimistic,2050
BTN,0.054,0,0.013,0.72,3.955,pessimistic,2050
BTN,4.081,0.375,29.615,73.898,138.087,optimistic,2100
BTN,0.488,0.019,0.926,6.413,32.039,pessimistic,2100
BWA,97.375,205.437,349.892,1744.936,2793.678,current,2020
BWA,902.849,4331.58,6292.053,7127.377,7546.133,optimistic,2050
BWA,824.696,3744.383,5983.241,6855.327,7382.18,pessimistic,2050
BWA,935.898,4616.555,6410.281,7128.999,7525.126,optimistic,2100
BWA,1250.866,6990.658,7845.644,7921.139,7955.171,pessimistic,2100
CAF,20702.943,59354.183,87069.669,325031.886,478410.055,current,2020
CAF,19036.384,53776.874,129934.464,240802.884,364525.993,optimistic,2050
CAF,23334.252,58559.764,166056.963,308058.456,467482.746,pessimistic,2050
CAF,22529.409,61818.862,157221.68,283990.84,437883.9,optimistic,2100
