admin0,GID_1,AAD,PMD_10,PMD_25,PMD_50,PMD_100,scenario,year
AFG,AFG.1_1,4300.993,12438.334,17708.559,67019.816,100842.081,current,2020
AFG,AFG.2_1,1931.643,5144.59,7463.711,32522.996,46817.544,current,2020
AFG,AFG.3_1,5532.219,14643.751,21264.219,93633.757,134460.045,current,2020
AFG,AFG.4_1,3861.054,10329.917,14986.205,64725.772,93409.827,current,2020
AFG,AFG.5_1,1493.658,4189.191,6001.281,24167.955,35132.859,current,2020
AFG,AFG.6_1,1270.953,3607.352,5143.795,20403.403,29639.795,current,2020
AFG,AFG.7_1,1564.421,4540.805,6408.928,24766.716,35864.853,current,2020
AFG,AFG.8_1,5099.587,12584.291,18666.479,90265.873,128918.157,current,2020
AFG,AFG.9_1,3269.71,9195.886,13124.255,52946.521,76622.092,current,2020
AFG,AFG.10_1,1698.764,4698.643,6754.58,27767.17,40337.321,current,2020
AFG,AFG.11_1,4548.474,13100.938,18591.613,72052.624,105366.342,current,2020
AFG,AFG.12_1,11212.649,30223.215,43684.917,187255.932,269781.177,current,2020
AFG,AFG.13_1,3198.838,8063.744,11893.043,55849.829,79974.565,current,2020
AFG,AFG.14_1,4020.925,11254.084,16134.043,65173.237,94669.051,current,2020
AFG,AFG.15_1,6199.305,17102.555,24522.482,101969.4,146876.235,current,2020
AFG,AFG.16_1,1427.837,4088.305,5814.714,22769.685,33102.426,current,2020
AFG,AFG.17_1,3629.969,10236.316,14615.45,58596.666,84978.652,current,2020
AFG,AFG.18_1,1814.851,5075.754,7264.747,29481.702,42705.178,current,2020
AFG,AFG.19_1,4468.339,11852.175,17208.667,75501.02,108475.416,current,2020
AFG,AFG.20_1,3916.705,10609.095,15345.322,65075.453,94047.316,current,2020
AFG,AFG.21_1,1668.925,4853.466,6901.323,25664.366,39423.858,current,2020
AFG,AFG.22_1,7808.256,20521.985,29950.02,132459.676,190886.312,current,2020
AFG,AFG.23_1,53.208,149.18,214.904,840.414,1288.527,current,2020
AFG,AFG.24_1,1446.601,4116.309,5874.484,23154.564,33689.901,current,2020
AFG,AFG.25_1,1185.803,3295.899,4718.169,19381.423,27985.769,current,2020
AFG,AFG.26_1,3283.492,9170.21,13115.513,53454.183,77276.667,current,2020
AFG,AFG.27_1,307.794,934.519,1319.073,4462.466,7232.968,current,2020
AFG,AFG.28_1,3445.941,10343.034,14711.926,49990.904,82334.201,current,2020
AFG,AFG.29_1,1105.589,2888.027,4216.463,18834.422,27143.954,current,2020
AFG,AFG.30_1,2204.952,5727.3,8365.838,37758.297,54242.209,current,2020
AFG,AFG.31_1,4856.596,13743.564,19575.632,78293.807,113333.813,current,2020
AFG,AFG.32_1,1538.392,4441.86,6313.741,24118.758,35928.156,current,2020
AFG,AFG.32_1,1538.392,4441.86,6313.741,24118.758,35928.156,current,2020
AFG,AFG.33_1,3614.195,9987.67,14343.892,59238.678,85689.903,current,2020
AFG,AFG.34_1,690.558,1946.626,2772.297,11182.749,16134.878,current,2020
AFG,AFG.1_1,10261.098,25282.154,75764.418,141327.941,187574.695,optimistic,2050
AFG,AFG.2_1,10447.641,43647.339,78560.14,94591.892,104866.327,optimistic,2050
AFG,AFG.3_1,36898.212,169134.737,268928.636,301502.899,319753.459,optimistic,2050
AFG,AFG.4_1,33345.663,162873.824,237362.598,251944.187,252489.285,optimistic,2050
AFG,AFG.5_1,8739.313,40995.621,59787.543,71632.227,81560.507,optimistic,2050
AFG,AFG.6_1,9207.123,41260.311,65141.736,79860.237,87821.772,optimistic,2050
AFG,AFG.7_1,11366.65,54793.08,76918.203,90742.672,99576.044,optimistic,2050
AFG,AFG.8_1,38454.043,192516.793,268120.87,280630.926,286491.047,optimistic,2050
AFG,AFG.9_1,19847.548,89185.333,139860.77,170349.956,192758.514,optimistic,2050
AFG,AFG.10_1,10746.361,46835.282,77251.818,95471.506,106332.988,optimistic,2050
AFG,AFG.11_1,36451.944,179780.205,245760.337,282728.078,298894.829,optimistic,2050
AFG,AFG.12_1,92502.901,434161.372,679126.699,728845.628,734478.319,optimistic,2050
AFG,AFG.13_1,27788.869,144446.859,187885.891,194284.458,194305.858,optimistic,2050
AFG,AFG.14_1,15593.665,50275.99,126415.155,170753.506,209438.92,optimistic,2050
AFG,AFG.15_1,36991.977,171958.807,255071.157,306849.725,345625.552,optimistic,2050
AFG,AFG.16_1,4829.785,9418.469,45250.093,63675.975,80441.466,optimistic,2050
AFG,AFG.17_1,3602.475,9772.037,18861.872,51851.149,83377.302,optimistic,2050
AFG,AFG.18_1,2789.489,6103.086,17196.793,44006.151,61118.547,optimistic,2050
AFG,AFG.19_1,36345.863,168322.609,271746.355,288124.923,288124.923,optimistic,2050
AFG,AFG.20_1,11553.169,22566.35,107059.792,153142.798,195128.61,optimistic,2050
AFG,AFG.21_1,9736.369,41551.58,70002.527,87913.805,102283.39,optimistic,2050
AFG,AFG.22_1,23233.151,70801.865,189952.848,262414.055,330656.947,optimistic,2050
AFG,AFG.23_1,521.133,2810.879,3341.941,3507.909,3620.918,optimistic,2050
AFG,AFG.24_1,3976.573,7718.436,36304.526,53456.092,68342.626,optimistic,2050
AFG,AFG.25_1,6276.056,25981.211,45790.984,58408.266,67813.073,optimistic,2050
AFG,AFG.26_1,9645.138,23906.38,84892.79,118612.755,148653.329,optimistic,2050
AFG,AFG.27_1,1481.599,5544.683,11395.672,14720.47,17689.433,optimistic,2050
AFG,AFG.28_1,12997.541,38834.463,111683.398,145016.731,174642.395,optimistic,2050
AFG,AFG.29_1,9002.353,45576.711,61283.537,65809.57,67714.867,optimistic,2050
AFG,AFG.30_1,16059.885,77167.353,111924.102,126686.457,133245.598,optimistic,2050
AFG,AFG.31_1,29032.675,106384.02,229504.79,298515.585,324376.954,optimistic,2050
AFG,AFG.32_1,9832.677,41756.567,70921.35,89213.135,103590.395,optimistic,2050
AFG,AFG.32_1,9832.677,41756.567,70921.35,89213.135,103590.395,optimistic,2050
AFG,AFG.33_1,20584.654,90164.704,146041.406,181344.966,209962.794,optimistic,2050
AFG,AFG.34_1,3769.691,16586.025,26636.307,33021.834,38519.999,optimistic,2050
AFG,AFG.1_1,11984.676,35083.733,90418.05,148943.42,188071.216,pessimistic,2050
AFG,AFG.2_1,15374.98,76650.42,104824.022,115320.171,121057.376,pessimistic,2050
AFG,AFG.3_1,42976.001,225381.267,283037.091,299728.322,312182.435,pessimistic,2050
