admin0,scenario,year,AAD,PMD_10,PMD_25,PMD_50,PMD_100,PMD_250
ABW,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,medium,2050,0.0,0.0,0.0,0.0,0.0,0.0
ABW,medium,2100,0.0,0.0,0.0,0.0,0.0,0.0
ABW,optimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
ABW,optimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
ABW,pessimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
ABW,pessimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
AFG,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,medium,2050,0.0,0.0,0.0,0.0,0.0,0.0
AFG,medium,2100,0.0,0.0,0.0,0.0,0.0,0.0
AFG,optimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
AFG,optimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
AFG,pessimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
AFG,pessimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
AGO,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,medium,2050,0.0,0.0,0.0,0.0,0.0,0.0
AGO,medium,2100,0.0,0.0,0.0,0.0,0.0,0.0
AGO,optimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
AGO,optimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
AGO,pessimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
AGO,pessimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
AIA,current,2020.0,4.417872738086698,0.0,0.0,0.0,0.0,0.0
AIA,medium,2050,4.417872738086698,0.0,0.0,0.0,0.0,0.0
AIA,medium,2100,4.417872738086698,0.0,0.0,0.0,0.0,0.0
AIA,optimistic,2050,4.417872738086698,0.0,0.0,0.0,0.0,0.0
AIA,optimistic,2100,4.417872738086698,0.0,0.0,0.0,0.0,0.0
AIA,pessimistic,2050,4.417872738086698,0.0,0.0,0.0,0.0,0.0
AIA,pessimistic,2100,4.625209142967117,0.0,0.0,0.0,0.0,0.0
ALA,current,2020,,,,,,
ALA,medium,2050,,,,,,
ALA,medium,2100,,,,,,
ALA,optimistic,2050,,,,,,
ALA,optimistic,2100,,,,,,
ALA,pessimistic,2050,,,,,,
ALA,pessimistic,2100,,,,,,
ALB,current,2020,,,,,,
ALB,medium,2050,,,,,,
ALB,medium,2100,,,,,,
ALB,optimistic,2050,,,,,,
ALB,optimistic,2100,,,,,,
ALB,pessimistic,2050,,,,,,
ALB,pessimistic,2100,,,,,,
AND,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,medium,2050,0.0,0.0,0.0,0.0,0.0,0.0
AND,medium,2100,0.0,0.0,0.0,0.0,0.0,0.0
AND,optimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
AND,optimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
AND,pessimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
AND,pessimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
ARE,current,2020.0,20.413615882593344,0.0,0.0,0.0,0.0,0.0
ARE,medium,2050,20.413615882593344,0.0,0.0,0.0,0.0,0.0
ARE,medium,2100,20.413615882593344,0.0,0.0,0.0,0.0,0.0
