time_horizon,scenario,GID_1,AAD_low,RP_10_low,RP_25_low,RP_50_low,RP_100_low,RP_250_low,AAD_medium,RP_10_medium,RP_25_medium,RP_50_medium,RP_100_medium,RP_250_medium,AAD_high,RP_10_high,RP_25_high,RP_50_high,RP_100_high,RP_250_high
hist,current,USA.1_1,665.4777965,0,139.4376674,7840.780906,23975.87861,42547.12353,268.1966992,0,0,78.37684957,2528.306539,16448.49224,138.4644653,0,0,0,37.39481591,6370.434943
2050,optimistic,USA.1_1,3892.71795,11456.16775,12520.08081,34508.63062,54734.65252,68352.65605,1951.39125,1043.42846,22160.34451,12201.29181,10643.87393,30252.19713,1231.98455,0,5079.695453,25470.36443,17119.89557,24996.91803
2100,optimistic,USA.1_1,5624.565704,12487.25375,16979.80886,12373.98157,39931.25613,89967.07427,2046.047781,1599.906466,25543.57619,21682.95385,12377.69149,34777.72057,1124.780371,1.162895275,9958.034467,27133.66058,18083.23597,20651.51829
hist,current,USA.2_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.2_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.2_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.3_1,50.57639596,0,0,0,23.0635368,2588.867542,8.378888216,0,0,0,0,0,1.97634529,0,0,0,0,0
2050,optimistic,USA.3_1,50.57639596,0,0,0,23.0635368,2588.867542,8.378888216,0,0,0,0,0,1.97634529,0,0,0,0,0
2100,optimistic,USA.3_1,50.57639596,0,0,0,23.0635368,2588.867542,8.378888216,0,0,0,0,0,1.97634529,0,0,0,0,0
hist,current,USA.4_1,26.50017933,0,0,0,0,542.3606592,1.972238731,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.4_1,27.09018181,0,0,0,0,825.2978846,1.972238731,0,0,0,0,0,0,0,0,0,0,0
